,"(('HP', 'th. Energy'), 'flow')","(('TES', 'th. Energy'), 'flow')","(('th. Energy', 'TES'), 'flow')","(('th. Energy', 'demand_th'), 'flow')"
2023-01-04 05:00:00,1265.4386,0.0,352.78884,912.6497414351583
2023-01-04 06:00:00,1265.4386,0.0,333.25743,932.1811561351324
2023-01-04 07:00:00,1265.4386,0.0,365.21792,900.2206593533566
2023-01-04 08:00:00,1265.4386,0.0,388.3005,877.138078344296
2023-01-04 09:00:00,1265.4386,0.0,438.01683,827.421750017089
2023-01-04 10:00:00,1265.4386,0.0,468.20174,797.2368363898561
2023-01-04 11:00:00,1265.4386,0.0,494.83549,770.6030890717094
2023-01-04 12:00:00,1265.4386,0.0,509.04016,756.3984238353646
2023-01-04 13:00:00,1265.4386,0.0,519.69366,745.744924908106
2023-01-04 14:00:00,1265.4386,0.0,519.69366,745.744924908106
2023-01-04 15:00:00,1265.4386,0.0,500.16224,765.2763396080802
2023-01-04 16:00:00,1265.4386,0.0,457.54825,807.8903353171147
2023-01-04 17:00:00,1265.4386,0.0,416.70983,848.7287478716064
2023-01-04 18:00:00,1265.4386,0.0,379.42259,886.0159941170116
2023-01-04 19:00:00,1265.4386,0.0,354.56442,910.8741582806152
2023-01-04 20:00:00,1265.4386,0.0,361.66676,903.7718256624427
2023-01-04 21:00:00,1265.4386,0.0,441.568,823.8705837080028
2023-01-04 22:00:00,1265.4386,0.0,565.85882,699.5797628899851
2023-01-04 23:00:00,1265.4386,0.0,750.51947,514.9191148175017
2023-01-05 00:00:00,1265.4386,0.0,859.55293,405.88564938752324
2023-01-05 01:00:00,1265.4386,0.0,820.04194,445.39664180577773
2023-01-05 02:00:00,1265.4386,0.0,843.38934,422.04923719499106
2023-01-05 03:00:00,1265.4386,0.0,803.87835,461.56022961324555
2023-01-05 04:00:00,1265.4386,0.0,644.03843,621.4001534870931
2023-01-05 05:00:00,1265.4386,0.0,342.31812,923.1204592264911
2023-01-05 06:00:00,1265.4386,0.0,322.56263,942.8759554356182
2023-01-05 07:00:00,1265.4386,0.0,354.8898,910.5487798206829
2023-01-05 08:00:00,1265.4386,0.0,378.23721,887.2013752098959
2023-01-05 09:00:00,0.0,836.91466,0.0,836.9146575866631
2023-01-05 10:00:00,0.0,806.38344,0.0,806.3834361725574
2023-01-05 11:00:00,0.0,779.44412,0.0,779.4441231601111
2023-01-05 12:00:00,0.0,765.07649,0.0,765.0764895534732
2023-01-05 13:00:00,0.0,754.30076,0.0,754.3007643484946
2023-01-05 14:00:00,0.0,754.30076,0.0,754.3007643484946
2023-01-05 15:00:00,0.0,774.05626,0.0,774.0562605576218
2023-01-05 16:00:00,0.0,817.15916,0.0,817.1591613775357
2023-01-05 17:00:00,0.0,858.46611,0.0,858.46610799662
2023-01-05 18:00:00,0.0,896.18115,0.0,896.1811462140447
2023-01-05 19:00:00,0.0,921.32451,0.0,921.3245050256612
2023-01-05 20:00:00,0.0,914.14069,0.0,914.1406882223422
2023-01-05 21:00:00,0.0,833.32275,0.0,833.3227491850034
2023-01-05 22:00:00,0.0,707.60596,0.0,707.605955126921
2023-01-05 23:00:00,0.0,520.82672,0.0,520.8267182406273
2023-01-06 00:00:00,0.0,431.97425,0.0,431.97425313269264
2023-01-06 01:00:00,0.0,474.02484,0.0,474.0248441456096
2023-01-06 02:00:00,0.0,449.17677,0.0,449.1767676379769
2023-01-06 03:00:00,1265.4386,0.0,774.21122,491.22735865089385
2023-01-06 04:00:00,1265.4386,0.0,604.09747,661.3411132031489
2023-01-06 05:00:00,1265.4386,0.0,282.98386,982.4547173017877
2023-01-06 06:00:00,1003.48,0.0,0.0,1003.4800128082462
2023-01-06 07:00:00,0.0,969.07498,0.0,969.0749837976779
2023-01-06 08:00:00,0.0,944.22691,0.0,944.226907290045
2023-01-06 09:00:00,0.0,890.70797,0.0,890.7079732736051
2023-01-06 10:00:00,0.0,858.21433,0.0,858.2143347636239
2023-01-06 11:00:00,0.0,829.54348,0.0,829.5434772548169
2023-01-06 12:00:00,0.0,814.25235,0.0,814.2523532501198
2023-01-06 13:00:00,802.78401,0.0,0.0,802.7840102465971
2023-01-06 14:00:00,0.0,802.78401,0.0,802.7840102465971
2023-01-06 15:00:00,0.0,823.80931,0.0,823.8093057530554
2023-01-06 16:00:00,0.0,869.68268,0.0,869.6826777671467
2023-01-06 17:00:00,0.0,913.64466,0.0,913.6446592806509
2023-01-06 18:00:00,0.0,953.78386,0.0,953.7838597929806
2023-01-06 19:00:00,0.0,980.54333,0.0,980.5433268012006
2023-01-06 20:00:00,0.0,972.89776,0.0,972.8977647988521
2023-01-06 21:00:00,0.0,886.88519,0.0,886.8851922724308
2023-01-06 22:00:00,0.0,753.08786,0.0,753.0878572313313
2023-01-06 23:00:00,0.0,554.30325,0.0,554.3032451702694
2023-01-07 00:00:00,1265.4386,0.0,857.60607,407.83250663472404
2023-01-07 01:00:00,1210.2417,0.0,762.70868,447.53301613013963
2023-01-07 02:00:00,1265.4386,0.0,841.36496,424.0736241555759
2023-01-07 03:00:00,1265.4386,0.0,801.66445,463.77413365099153
2023-01-07 04:00:00,1265.4386,0.0,641.05784,624.3807402460819
2023-01-07 05:00:00,1265.4386,0.0,337.89031,927.5482673019831
2023-01-07 06:00:00,1265.4386,0.0,318.04006,947.3985220496908
2023-01-07 07:00:00,914.91629,0.0,0.0,914.9162870079872
2023-01-07 08:00:00,0.0,891.4569,0.0,891.4568950334233
2023-01-07 09:00:00,0.0,840.92897,0.0,840.9289738574399
2023-01-07 10:00:00,1265.4386,0.0,455.18727,810.2513074291642
2023-01-07 11:00:00,1265.4386,0.0,482.2558,783.1827782277444
2023-01-07 12:00:00,1265.4386,0.0,496.69235,768.7462293203205
2023-01-07 13:00:00,1265.4386,0.0,507.51976,757.9188176397527
2023-01-07 14:00:00,1265.4386,0.0,507.51976,757.9188176397527
2023-01-07 15:00:00,1265.4386,0.0,487.66951,777.7690723874605
2023-01-07 16:00:00,1265.4386,0.0,444.35986,821.078719109732
2023-01-07 17:00:00,1265.4386,0.0,402.85478,862.5837972185757
2023-01-07 18:00:00,1265.4386,0.0,364.95884,900.4797381005633
2023-01-07 19:00:00,1265.4386,0.0,339.69488,925.743698688555
2023-01-07 20:00:00,1265.4386,0.0,346.91316,918.5254242348431
2023-01-07 21:00:00,1265.4386,0.0,428.11874,837.3198366305838
2023-01-07 22:00:00,1265.4386,0.0,554.43855,711.0000336906251
2023-01-07 23:00:00,1265.4386,0.0,742.11368,523.324897894115
2023-01-08 00:00:00,1265.4386,0.0,838.06162,427.3769579152147
2023-01-08 01:00:00,1265.4386,0.0,796.45856,468.98002461492587
2023-01-08 02:00:00,1265.4386,0.0,821.04219,444.3963942923693
2023-01-08 03:00:00,1265.4386,0.0,779.43912,485.9994609920804
2023-01-08 04:00:00,1265.4386,0.0,611.1358,654.3027762772756
2023-01-08 05:00:00,1265.4386,0.0,293.43966,971.9989219841608
2023-01-08 06:00:00,1265.4386,0.0,272.63813,992.8004553340164
2023-01-08 07:00:00,1265.4386,0.0,306.677,958.7615825797072
2023-01-08 08:00:00,1265.4386,0.0,331.26063,934.1779522571508
2023-01-08 09:00:00,1265.4386,0.0,384.20999,881.2285946393366
2023-01-08 10:00:00,1265.4386,0.0,416.35781,849.0807703713779
2023-01-08 11:00:00,820.71504,0.0,0.0,820.7150430761202
2023-01-08 12:00:00,1265.4386,0.0,459.85193,805.5866551853162
2023-01-08 13:00:00,1265.4386,0.0,471.19822,794.2403642672132
2023-01-08 14:00:00,794.24036,0.0,0.0,794.2403642672132
2023-01-08 15:00:00,815.0419,0.0,0.0,815.0418976170687
2023-01-08 16:00:00,0.0,860.42706,0.0,860.4270612894809
2023-01-08 17:00:00,0.0,903.92118,0.0,903.9211764755426
2023-01-08 18:00:00,0.0,943.63319,0.0,943.6331946889032
2023-01-08 19:00:00,0.0,970.10787,0.0,970.1078734978103
2023-01-08 20:00:00,962.54368,0.0,0.0,962.5436795524083
2023-01-08 21:00:00,877.4465,0.0,0.0,877.4464976666353
2023-01-08 22:00:00,745.0731,0.0,0.0,745.0731036220999
2023-01-08 23:00:00,1265.4386,0.0,717.03452,548.4040610416472
2023-01-09 00:00:00,1265.4386,0.0,814.75569,450.6828886866503
2023-01-09 01:00:00,1265.4386,0.0,770.88391,494.5546743110145
2023-01-09 02:00:00,1265.4386,0.0,796.80814,468.6304373511629
2023-01-09 03:00:00,1265.4386,0.0,752.93636,512.5022229755272
2023-01-09 04:00:00,1265.4386,0.0,575.45504,689.9835375468186
2023-01-09 05:00:00,1265.4386,0.0,240.43414,1025.0044459510543
2023-01-09 06:00:00,0.0,1046.9403,0.0,1046.9403387632365
2023-01-09 07:00:00,0.0,1011.0452,0.0,1011.0452414342112
2023-01-09 08:00:00,0.0,985.121,0.0,985.1210044743596
2023-01-09 09:00:00,0.0,929.28419,0.0,929.284186406987
2023-01-09 10:00:00,0.0,895.38326,0.0,895.3832611517965
2023-01-09 11:00:00,0.0,865.47068,0.0,865.4706800442755
2023-01-09 12:00:00,0.0,849.5173,0.0,849.5173034535975
2023-01-09 13:00:00,0.0,837.55227,0.0,837.5522710105892
2023-01-09 14:00:00,0.0,837.55227,0.0,837.5522710105892
2023-01-09 15:00:00,0.0,859.48816,0.0,859.4881638227712
2023-01-09 16:00:00,0.0,907.34829,0.0,907.3482935948049
2023-01-09 17:00:00,0.0,953.21425,0.0,953.2142512930038
2023-01-09 18:00:00,0.0,995.09186,0.0,995.0918648435332
2023-01-09 19:00:00,0.0,1023.0103,0.0,1023.0102738772196
2023-01-09 20:00:00,0.0,1015.0336,0.0,1015.0335855818806
2023-01-09 21:00:00,0.0,925.29584,0.0,925.2958422593174
2023-01-09 22:00:00,0.0,785.7038,0.0,785.7037970908859
2023-01-09 23:00:00,0.0,578.3099,0.0,578.3099014120735
2023-01-10 00:00:00,460.01858,0.0,0.0,460.0185754101192
2023-01-10 01:00:00,1265.4386,0.0,760.63944,504.79914469782995
2023-01-10 02:00:00,1265.4386,0.0,787.10068,478.3378992096372
2023-01-10 03:00:00,1265.4386,0.0,742.32011,523.118468497348
2023-01-10 04:00:00,1265.4386,0.0,561.16236,704.2762260703596
2023-01-10 05:00:00,0.0,1046.2369,0.0,1046.236936994696
2023-01-10 06:00:00,0.0,1068.6272,0.0,1068.6272216385512
2023-01-10 07:00:00,0.0,1031.9886,0.0,1031.9885740395152
2023-01-10 08:00:00,0.0,1005.5273,0.0,1005.5273285513225
2023-01-10 09:00:00,0.0,948.53388,0.0,948.5338767305998
2023-01-10 10:00:00,0.0,913.93071,0.0,913.9307095537325
2023-01-10 11:00:00,0.0,883.3985,0.0,883.3985032212024
2023-01-10 12:00:00,0.0,867.11466,0.0,867.114659843853
2023-01-10 13:00:00,0.0,854.90178,0.0,854.9017773108411
2023-01-10 14:00:00,0.0,854.90178,0.0,854.9017773108411
2023-01-10 15:00:00,0.0,877.29206,0.0,877.2920619546964
2023-01-10 16:00:00,0.0,926.14359,0.0,926.1435920867444
2023-01-10 17:00:00,0.0,972.95964,0.0,972.9596417966239
2023-01-10 18:00:00,0.0,1015.7047,0.0,1015.7047306621658
2023-01-10 19:00:00,0.0,1044.2015,0.0,1044.2014565725271
2023-01-10 20:00:00,0.0,1036.0595,0.0,1036.0595348838526
2023-01-10 21:00:00,1265.4386,0.0,320.97567,944.4629158862623
2023-01-10 22:00:00,1265.4386,0.0,463.45929,801.9792863344557
2023-01-10 23:00:00,1265.4386,0.0,675.14926,590.289322428914
2023-01-11 00:00:00,1265.4386,0.0,808.63735,456.80122921569557
2023-01-11 01:00:00,1265.4386,0.0,764.16998,501.2686055110288
2023-01-11 02:00:00,1265.4386,0.0,790.44615,474.99242860924096
2023-01-11 03:00:00,1265.4386,0.0,745.97878,519.4598049045742
2023-01-11 04:00:00,1265.4386,0.0,566.08803,699.3505544629676
2023-01-11 05:00:00,1265.4386,0.0,226.51897,1038.9196098091484
2023-01-11 06:00:00,1265.4386,0.0,204.28528,1061.1532979568149
2023-01-11 07:00:00,1265.4386,0.0,240.66768,1024.770899169724
2023-01-11 08:00:00,0.0,998.49472,0.0,998.4947222679364
2023-01-11 09:00:00,0.0,941.89988,0.0,941.8998797102397
2023-01-11 10:00:00,0.0,907.53873,0.0,907.5387253002094
2023-01-11 11:00:00,0.0,877.22006,0.0,877.2200596443005
2023-01-11 12:00:00,0.0,861.0501,0.0,861.0501046278156
2023-01-11 13:00:00,0.0,848.92264,0.0,848.922638365452
2023-01-11 14:00:00,0.0,848.92264,0.0,848.922638365452
2023-01-11 15:00:00,0.0,871.15633,0.0,871.1563265131185
2023-01-11 16:00:00,0.0,919.66619,0.0,919.6661915625729
2023-01-11 17:00:00,0.0,966.15481,0.0,966.1548122349669
2023-01-11 18:00:00,0.0,1008.6009,0.0,1008.6009441532393
2023-01-11 19:00:00,0.0,1036.8984,0.0,1036.8983654320878
2023-01-11 20:00:00,0.0,1028.8134,0.0,1028.8133879238453
2023-01-11 21:00:00,1265.4386,0.0,327.58119,937.8573909561184
2023-01-11 22:00:00,1265.4386,0.0,469.0683,796.3702845618764
2023-01-11 23:00:00,1265.4386,0.0,679.27771,586.160869347574
2023-01-12 00:00:00,1265.4386,0.0,852.65972,412.7788643944169
2023-01-12 01:00:00,1265.4386,0.0,812.4777,452.9608777425461
2023-01-12 02:00:00,1265.4386,0.0,836.22162,429.21696076410615
2023-01-12 03:00:00,1265.4386,0.0,796.03961,469.3989741122352
2023-01-12 04:00:00,1265.4386,0.0,633.4851,631.9534826569393
2023-01-12 05:00:00,1265.4386,0.0,326.64063,938.7979482244704
2023-01-12 06:00:00,1265.4386,0.0,306.54963,958.888954898535
2023-01-12 07:00:00,0.0,926.01276,0.0,926.0127621591566
2023-01-12 08:00:00,902.26885,0.0,0.0,902.2688451807168
2023-01-12 09:00:00,1265.4386,0.0,414.31048,851.1281009194615
2023-01-12 10:00:00,1265.4386,0.0,445.36022,820.0783633322709
2023-01-12 11:00:00,1265.4386,0.0,472.75705,792.6815360494555
2023-01-12 12:00:00,1265.4386,0.0,487.36869,778.0698948319541
2023-01-12 13:00:00,1265.4386,0.0,498.32742,767.1111639188281
2023-01-12 14:00:00,1265.4386,0.0,498.32742,767.1111639188281
2023-01-12 15:00:00,1265.4386,0.0,478.23641,787.2021705928925
2023-01-12 16:00:00,1265.4386,0.0,434.40149,831.0370942453969
2023-01-12 17:00:00,1265.4386,0.0,392.39302,873.0455627457138
2023-01-12 18:00:00,911.40112,0.0,0.0,911.4011209416552
2023-01-12 19:00:00,1265.4386,0.0,328.46709,936.9714930722827
2023-01-12 20:00:00,1265.4386,0.0,335.77291,929.665672463532
2023-01-12 21:00:00,1265.4386,0.0,417.96339,847.4751906150861
2023-01-12 22:00:00,1265.4386,0.0,545.81525,719.6233299619481
2023-01-12 23:00:00,1265.4386,0.0,735.76659,529.6719941344289
2023-01-13 00:00:00,1265.4386,0.0,886.0057,379.43288067670557
2023-01-13 01:00:00,1265.4386,0.0,849.06976,416.368824813376
2023-01-13 02:00:00,1265.4386,0.0,870.89554,394.54303964170714
2023-01-13 03:00:00,1265.4386,0.0,833.9596,431.4789837783776
2023-01-13 04:00:00,1265.4386,0.0,684.53691,580.9016668767263
2023-01-13 05:00:00,1265.4386,0.0,402.48061,862.9579675567552
2023-01-13 06:00:00,1265.4386,0.0,384.01264,881.4259396250905
2023-01-13 07:00:00,1265.4386,0.0,414.23296,851.2056216950874
2023-01-13 08:00:00,1265.4386,0.0,436.05874,829.3798365234184
2023-01-13 09:00:00,1265.4386,0.0,483.06813,782.370453076747
2023-01-13 10:00:00,1265.4386,0.0,511.60954,753.8290416984107
2023-01-13 11:00:00,1265.4386,0.0,536.79314,728.6454434234081
2023-01-13 12:00:00,1265.4386,0.0,550.22439,715.2141910100735
2023-01-13 13:00:00,1265.4386,0.0,560.29783,705.1407517000724
2023-01-13 14:00:00,1265.4386,0.0,560.29783,705.1407517000724
2023-01-13 15:00:00,1265.4386,0.0,541.82986,723.6087237684076
2023-01-13 16:00:00,1265.4386,0.0,501.5361,763.9024810084117
2023-01-13 17:00:00,1265.4386,0.0,462.92125,802.517331696749
2023-01-13 18:00:00,1265.4386,0.0,427.66421,837.7743692817526
2023-01-13 19:00:00,1265.4386,0.0,404.15952,861.2790610050882
2023-01-13 20:00:00,1265.4386,0.0,410.87515,854.5634347984211
2023-01-13 21:00:00,1265.4386,0.0,486.42594,779.0126399734132
2023-01-13 22:00:00,1265.4386,0.0,603.9494,661.4891813567344
2023-01-13 23:00:00,1265.4386,0.0,778.55568,486.8828999833833
2023-01-14 00:00:00,1265.4386,0.0,865.60375,399.83483007869756
2023-01-14 01:00:00,1265.4386,0.0,826.68178,438.7568046881283
2023-01-14 02:00:00,1265.4386,0.0,849.68113,415.7574560552829
2023-01-14 03:00:00,1265.4386,0.0,810.75915,454.67943066471366
2023-01-14 04:00:00,1265.4386,0.0,653.30207,612.1365097665016
2023-01-14 05:00:00,1265.4386,0.0,356.07972,909.3588613294273
2023-01-14 06:00:00,1265.4386,0.0,336.61873,928.8198486341427
2023-01-14 07:00:00,1265.4386,0.0,368.46398,896.974596680972
2023-01-14 08:00:00,1265.4386,0.0,391.46333,873.9752480481266
2023-01-14 09:00:00,1265.4386,0.0,441.00039,824.4381894543058
2023-01-14 10:00:00,1265.4386,0.0,471.07646,794.3621181652001
2023-01-14 11:00:00,1265.4386,0.0,497.61417,767.8244082042246
2023-01-14 12:00:00,1265.4386,0.0,511.76762,753.6709628917043
2023-01-14 13:00:00,1265.4386,0.0,522.3827,743.0558789073141
2023-01-14 14:00:00,1265.4386,0.0,522.3827,743.0558789073141
2023-01-14 15:00:00,1265.4386,0.0,502.92171,762.5168662120294
2023-01-14 16:00:00,1265.4386,0.0,460.46138,804.9772021495903
2023-01-14 17:00:00,1265.4386,0.0,419.77022,845.668357423086
2023-01-14 18:00:00,1265.4386,0.0,382.61743,882.8211513684518
2023-01-14 19:00:00,1265.4386,0.0,357.8489,907.5896806653623
2023-01-14 20:00:00,1265.4386,0.0,364.92562,900.512958009102
2023-01-14 21:00:00,1265.4386,0.0,444.53875,820.8998281261755
2023-01-14 22:00:00,1265.4386,0.0,568.3814,697.0571816416232
2023-01-14 23:00:00,1265.4386,0.0,752.37619,513.0623925788598
2023-01-15 00:00:00,1265.4386,0.0,837.23758,428.2010044087058
2023-01-15 01:00:00,1265.4386,0.0,795.55429,469.88428802371254
2023-01-15 02:00:00,1265.4386,0.0,820.18532,445.25325679666304
2023-01-15 03:00:00,1265.4386,0.0,778.50204,486.93654041166985
2023-01-15 04:00:00,1265.4386,0.0,609.87421,655.5643695814699
2023-01-15 05:00:00,1265.4386,0.0,291.5655,973.8730808233397
2023-01-15 06:00:00,1265.4386,0.0,270.72386,994.714722630843
2023-01-15 07:00:00,1265.4386,0.0,304.82836,960.6102178549286
2023-01-15 08:00:00,1265.4386,0.0,329.45939,935.979186627879
2023-01-15 09:00:00,1265.4386,0.0,382.51085,882.927734754234
2023-01-15 10:00:00,1265.4386,0.0,414.72066,850.7179246880926
2023-01-15 11:00:00,1265.4386,0.0,443.14108,822.2975040414971
2023-01-15 12:00:00,1265.4386,0.0,458.29863,807.1399463633127
2023-01-15 13:00:00,1265.4386,0.0,469.6668,795.7717781046746
2023-01-15 14:00:00,1265.4386,0.0,469.6668,795.7717781046746
2023-01-15 15:00:00,1265.4386,0.0,448.82516,816.6134199121777
