dhi;dni;ghi;temp_air;wind_speed
0;0;0;0.9;2.9
0;0;0;1;3.2
5;0;5;1.2;2.7
42;4;42.49024897;1.8;2.4
38;0;38;2.3;2.4
31;0;31;2.8;2.7
26;0;26;3;3
22;0;22;3.2;2.4
16;0;16;3.5;2.3
5;0;5;3.4;2.2
0;0;0;3.3;1.8
0;0;0;3;1.9
0;0;0;3.1;2.6
0;0;0;2.6;2.4
0;0;0;2.5;2
0;0;0;2.7;2.3
0;0;0;2.6;2.7
0;0;0;2.5;2.4
0;0;0;2.5;3
0;0;0;2.4;3
0;0;0;2.3;3.4
0;0;0;2;3.1
0;0;0;1.3;3.8
0;0;0;0.9;4.1
0;0;0;0.8;3.5
0;0;0;0.8;3.9
0;0;0;0.9;4
27;0;27;1.1;4
74;73;89.15262754;1.3;3.4
99;127;131.613022;1.6;3.8
102;145;140.8714841;2.1;3.8
94;123;123.6938995;2.6;3.6
77;61;87.86503271;3.1;2.8
35;10;35.85243027;2.8;2.8
1;0;1;2.4;3.3
0;0;0;1.2;3.6
0;0;0;0;2.6
0;0;0;-0.9;2.4
0;0;0;-1.4;2.7
0;0;0;-1.6;2.4
0;0;0;-1.7;2.7
0;0;0;-1.8;2.6
0;0;0;-1.7;2.4
0;0;0;-1.4;2.9
0;0;0;-1.5;2.6
0;0;0;-1.3;2.8
0;0;0;-1.3;2.6
0;0;0;-1.2;1.9
0;0;0;-1.8;2.4
0;0;0;-2;2.1
10;4;10.09354112;-2;2
48;43;53.42655567;-1.7;2.5
78;104;99.81807837;-1.1;2.8
97;144;134.318493;0;3.5
101;152;142.1823438;1;3.8
94;124;124.2922143;2.2;4.2
79;52;88.42269971;2.5;4.7
32;5;32.44620988;2.1;3.8
0;0;0;1.5;4
0;0;0;0.9;3.6
0;0;0;0.3;3.7
0;0;0;0.1;2.8
0;0;0;-0.2;2.5
0;0;0;-0.6;2.8
0;0;0;-0.9;3.5
0;0;0;-1.5;2.9
0;0;0;-1.6;2.8
0;0;0;-1.7;3.2
0;0;0;-1.9;3
0;0;0;-2.3;3.1
0;0;0;-2.6;2.6
0;0;0;-2.4;3.3
0;0;0;-3;3.5
0;0;0;-3.3;2.8
10;0;10;-3.5;2.9
43;43;48.51588267;-3.2;3.4
66;119;91.22884608;-2.7;3.6
77;167;120.7012048;-2.1;3.5
81;177;129.4610705;-1.1;4.2
77;150;114.1005872;-0.3;4.1
69;80;83.74355588;0;4.2
36;11;37.02563434;-0.4;4.2
1;0;1;-0.9;3.1
0;0;0;-1.2;3.1
0;0;0;-1.4;2.5
0;0;0;-1.8;3.1
0;0;0;-2.6;3.2
0;0;0;-3.1;3.3
0;0;0;-3.6;3.2
0;0;0;-4;3.1
0;0;0;-3.8;2.7
0;0;0;-3.2;2.4
0;0;0;-3.1;2.3
0;0;0;-2.9;2.1
0;0;0;-2.5;2.5
0;0;0;-2.1;2.8
0;0;0;-1.6;2.5
0;0;0;-1.4;2.3
9;0;9;-1.2;2.6
31;21;33.7337822;-1.1;2.5
62;7;63.50076074;-0.8;2.5
72;2;72.52909275;-0.6;2.8
62;0;62;-0.1;2.6
39;0;39;0.2;2.4
23;0;23;0.3;2.5
9;0;9;0.5;2.7
0;0;0;0.6;2
0;0;0;0.4;1.8
0;0;0;0.5;1.4
0;0;0;0.7;1.3
0;0;0;0.6;1.3
0;0;0;0.7;0.7
0;0;0;0.7;1
0;0;0;0.7;1
0;0;0;0.7;1.1
0;0;0;0.6;1.7
0;0;0;0.4;1.4
0;0;0;0.1;1.5
0;0;0;0.1;1.8
0;0;0;-0.1;1.5
