time(UTC),dhi,dni,ghi,temp_air,wind_speed
2045-01-01 00:00:00,0,0,0,-0.2,1.6
2045-01-01 01:00:00,0,0,0,-0.1,1.2
2045-01-01 02:00:00,0,0,0,0.1,0.8
2045-01-01 03:00:00,0,0,0,0.2,0.7
2045-01-01 04:00:00,0,0,0,0.3,1
2045-01-01 05:00:00,0,0,0,0.3,1.2
2045-01-01 06:00:00,0,0,0,0.4,2
2045-01-01 07:00:00,0,0,0,0.6,2
2045-01-01 08:00:00,2,0,2,1.1,2.1
2045-01-01 09:00:00,10,0,10,1.4,2
2045-01-01 10:00:00,35,0,35,1.5,2.5
2045-01-01 11:00:00,106,10,108.3870295,1.9,2.7
2045-01-01 12:00:00,94,3,94.74201174,2.3,2.8
2045-01-01 13:00:00,48,0,48,2.5,2.7
2045-01-01 14:00:00,25,0,25,2.6,2.2
2045-01-01 15:00:00,3,0,3,2.7,2.4
2045-01-01 16:00:00,0,0,0,2.6,2.8
2045-01-01 17:00:00,0,0,0,2.6,2.6
2045-01-01 18:00:00,0,0,0,2.5,2.8
2045-01-01 19:00:00,0,0,0,2.9,2.2
2045-01-01 20:00:00,0,0,0,2.9,1.8
2045-01-01 21:00:00,0,0,0,3.1,1.7
2045-01-01 22:00:00,0,0,0,3.5,1.8
2045-01-01 23:00:00,0,0,0,3.6,2.5
2045-01-02 00:00:00,0,0,0,3.9,2.7
2045-01-02 01:00:00,0,0,0,4.3,3.1
2045-01-02 02:00:00,0,0,0,4.5,3.5
2045-01-02 03:00:00,0,0,0,4.6,3.3
2045-01-02 04:00:00,0,0,0,4.6,3.1
2045-01-02 05:00:00,0,0,0,4.7,2.8
2045-01-02 06:00:00,0,0,0,4.5,2.2
2045-01-02 07:00:00,0,0,0,4.6,2.5
2045-01-02 08:00:00,4,0,4,4.5,3.1
2045-01-02 09:00:00,41,4,41.45281286,4.8,3.2
2045-01-02 10:00:00,52,0,52,4.6,3.8
2045-01-02 11:00:00,70,0,70,4.4,4.4
2045-01-02 12:00:00,87,1,87.24885893,4.3,4.8
2045-01-02 13:00:00,76,1,76.2198462,4.1,5.6
2045-01-02 14:00:00,20,0,20,4.4,5
2045-01-02 15:00:00,6,0,6,4.9,3.8
2045-01-02 16:00:00,0,0,0,4.7,3.6
2045-01-02 17:00:00,0,0,0,4.9,3
2045-01-02 18:00:00,0,0,0,5.3,4.3
2045-01-02 19:00:00,0,0,0,5.2,5.1
2045-01-02 20:00:00,0,0,0,4.9,5
2045-01-02 21:00:00,0,0,0,4.8,4.3
2045-01-02 22:00:00,0,0,0,5,3.9
2045-01-02 23:00:00,0,0,0,5.6,4.1
2045-01-03 00:00:00,0,0,0,5.6,3.9
2045-01-03 01:00:00,0,0,0,5.4,4.1
2045-01-03 02:00:00,0,0,0,5.3,3.7
2045-01-03 03:00:00,0,0,0,5.3,4.4
2045-01-03 04:00:00,0,0,0,5.6,4.5
2045-01-03 05:00:00,0,0,0,6,4.2
2045-01-03 06:00:00,0,0,0,6.1,4.8
2045-01-03 07:00:00,0,0,0,6.1,4.2
2045-01-03 08:00:00,1,0,1,5.8,4.2
2045-01-03 09:00:00,36,2,36.22779366,5.9,4
2045-01-03 10:00:00,70,4,70.77899181,6.1,5.1
2045-01-03 11:00:00,61,0,61,6.3,5.2
2045-01-03 12:00:00,37,0,37,6.7,5.5
2045-01-03 13:00:00,60,0,60,7.2,5.1
